days_passed,cycle_day,flow,mood,sleep_hours,hormonal_phase,tips
1,1,heavy,irritable,6,menstrual,Stay hydrated and rest
3,3,medium,tired,7,menstrual,Take iron supplements
5,5,light,neutral,8,menstrual,Practice gentle exercise
8,8,none,energetic,7,follicular,Focus on high-protein foods
12,12,none,happy,8,follicular,Engage in high-intensity workouts
14,14,none,confident,7,ovulatory,Monitor fertility signs
16,16,none,anxious,6,luteal,Practice stress-reduction techniques
20,20,none,irritable,7,luteal,Increase calcium intake
25,25,none,tired,8,luteal,Prepare for upcoming menstruation
28,1,heavy,moody,6,menstrual,Use heat therapy for cramps
30,3,medium,neutral,7,menstrual,Take iron supplements
32,5,light,better,8,menstrual,Practice gentle exercise
35,8,none,energetic,8,follicular,Focus on high-protein foods
39,12,none,confident,7,follicular,Engage in high-intensity workouts
41,14,none,excited,8,ovulatory,Monitor fertility signs
43,16,none,neutral,7,luteal,Practice stress-reduction techniques
47,20,none,irritable,6,luteal,Increase calcium intake
52,25,none,tired,7,luteal,Prepare for upcoming menstruation
55,1,heavy,moody,6,menstrual,Stay hydrated and rest
57,3,medium,better,7,menstrual,Take iron supplements
59,5,light,neutral,8,menstrual,Practice gentle exercise
62,8,none,happy,8,follicular,Focus on high-protein foods
66,12,none,energetic,7,follicular,Engage in high-intensity workouts
68,14,none,confident,8,ovulatory,Monitor fertility signs
70,16,none,anxious,6,luteal,Practice stress-reduction techniques
74,20,none,irritable,7,luteal,Increase calcium intake
79,25,none,tired,8,luteal,Prepare for upcoming menstruation
82,1,heavy,irritable,6,menstrual,Use heat therapy for cramps
84,3,heavy,tired,6,menstrual,Take iron supplements
86,5,medium,neutral,7,menstrual,Practice gentle exercise
89,8,none,energetic,8,follicular,Focus on high-protein foods
93,12,none,happy,8,follicular,Engage in high-intensity workouts
95,14,none,confident,7,ovulatory,Monitor fertility signs
97,16,none,anxious,6,luteal,Practice stress-reduction techniques
101,20,none,irritable,7,luteal,Increase calcium intake
106,25,none,tired,8,luteal,Prepare for upcoming menstruation
